Client,Amount ($),GP1 ($),Revenue Goal ($),Revenue Gap ($),Client Category
Client_1,353206.63,245042.65999999997,1130876.38,777669.75,High Value
Client_10,152017.27,108431.71,952237.54,800220.27,Standard
Client_2,386788.19999999995,252609.71,1344022.87,957234.6699999999,High Value
Client_3,417881.62,275943.05,1119424.08,701542.4600000001,High Value
Client_4,179401.02,113129.75,1339403.73,1160002.71,Standard
Client_5,360165.17,220772.27000000002,1053108.3900000001,692943.22,High Value
Client_6,169784.0,107876.65000000001,805196.0700000001,635412.0700000001,Standard
Client_7,321455.39,203839.53,1032074.5499999999,710619.16,High Value
Client_8,59105.51,40191.75,310685.72,251580.21,Standard
Client_9,299835.53,188445.53,1271456.65,971621.1199999999,Standard
